Book,ParagraphIndex,Question,AnswerA,AnswerB
FEDERICO LENNOIS,1,Qual è il legame di parentela tra Augusto e Isalina?,Sono fratelli,Sono fratello e sorella
FEDERICO LENNOIS,1,Quale evento importante attende Isalina?,Il suo matrimonio,Le sue nozze
FEDERICO LENNOIS,1,Chi è Giustino per Augusto e Isalina?,Il loro fratello,Il fratello di Augusto e Isalina
,,,,
FEDERICO LENNOIS,2,Chi era Zenaide per Augusto?,La sua nutrice,La balia di Augusto
FEDERICO LENNOIS,2,Chi è Giustino per Isalina?,Il suo fidanzato,Il promesso sposo di Isalina
FEDERICO LENNOIS,2,Dove andava Giustino nei mesi di villeggiatura?,Al castello,Nel castello di Augusto e Isalina
,,,,
FEDERICO LENNOIS,3,Qual è la professione di Ferdinando Ducastel?,È un artista,Un giovane artista
FEDERICO LENNOIS,3,Da dove arriva Giustino?,Dalla Grecia,Dal Castello di Morea
FEDERICO LENNOIS,3,Dove ha studiato Ferdinando Ducastel?,In Italia,Nel paese d'Italia
,,,,
FEDERICO LENNOIS,4,Qual è il soggetto del quadro di Ferdinando Ducastel?,La Preghiera,Rappresenta la Preghiera
FEDERICO LENNOIS,4,Che professione svolge Ferdinando Ducastel?,È un artista,Svolge la professione di artista
FEDERICO LENNOIS,4,Dove si potrà ammirare il quadro di Ferdinando Ducastel?,All'albergo Mirabeau a Parigi,"Presso l'albergo Mirabeau, strada della Pace"
,,,,
FEDERICO LENNOIS,5,Chi è Federico Lennois per Eduardo?,Suo fratello,Il fratello di Eduardo
FEDERICO LENNOIS,5,Dove si dirige Daniele dei Rimini?,A Napoli,Verso Napoli
FEDERICO LENNOIS,5,Dove è sepolto il padre di Eduardo?,A Schoene Aussicht,Nella località di Schoene Aussicht
,,,,
FEDERICO LENNOIS,6,Dove si trovano Eduardo e Lucia?,A Parigi,All'Albergo des Princes a Parigi
FEDERICO LENNOIS,6,Cosa sta facendo Lucia?,Scrive una lettera,È intenta a scrivere una lettera
FEDERICO LENNOIS,6,Qual è la relazione tra Marietta e Lucia?,Marietta è la sorella di Lucia,"Sono sorelle, con Marietta più giovane"
,,,,
FEDERICO LENNOIS,7,Qual è il legame di parentela tra Federico ed Eduardo?,Sono fratelli,Sono fratelli tra loro
FEDERICO LENNOIS,7,In quale città si sono sposati Eduardo e Lucia?,A Napoli,Nella città di Napoli
FEDERICO LENNOIS,7,Da quanto tempo Eduardo e Lucia sono sposati?,Da due settimane,Solo da due settimane
,,,,
FEDERICO LENNOIS,8,Chi sono gli sposi che Federico Lennois ha promesso di assistere al matrimonio?,Giustino Victor e Isalina,Isalina e Giustino Victor
FEDERICO LENNOIS,8,Qual è il nome della donna che Federico Lennois intende presentare a Giustino Victor per la sua vendetta?,Mistress Horms,La signora Horms
FEDERICO LENNOIS,8,In quale luogo Giustino Victor si è distinto per coraggio e valore?,Nel Mar di Candia,"Nel Mar di Candia, contro un brigantino turco"
,,,,
,,,,
FEDERICO LENNOIS,10,Chi invia la lettera a Giustino Victor?,Lucia Horms,La signora Lucia Horms
FEDERICO LENNOIS,10,Dove è invitato Giustino Victor da Lucia Horms?,A Parigi,"Nella casa n. 8, strada D."
FEDERICO LENNOIS,10,Qual è il motivo dichiarato da Lucia Horms per l'incontro con Giustino Victor?,Chiedere perdono per le offese del marito,Assicurarsi che Giustino abbia perdonato il marito
,,,,
FEDERICO LENNOIS,11,Dove si trasferiscono Ugo Ferraretti e sua madre?,Alla Casa di Satana,Nella Casa di Satana
FEDERICO LENNOIS,11,Per quale motivo Ugo Ferraretti e sua madre furono sfrattati?,Non avevano pagato l'affitto,Per il mancato pagamento della pigione
FEDERICO LENNOIS,11,Qual è la professione di Ugo Ferraretti?,È un pittore,Fa il pittore
,,,,
FEDERICO LENNOIS,12,Che mestiere fa il signor Paillard?,È un rivendugliolo,Fa il rivendugliolo
FEDERICO LENNOIS,12,In quale città si trova il signor Paillard?,A Pisa,Nella città di Pisa
FEDERICO LENNOIS,12,Come si chiama la moglie del signor Paillard?,Si chiama Carlotta,Il suo nome è Carlotta
,,,,
FEDERICO LENNOIS,13,Come si chiama il giovane artista?,Ugo,Si chiama Ugo
FEDERICO LENNOIS,13,In quale città si trova Ugo?,A Pisa,Nella città di Pisa
FEDERICO LENNOIS,13,Verso quale luogo si dirige Ugo ogni giorno?,Verso la Cascina,Alla Cascina
,,,,
FEDERICO LENNOIS,14,Cosa inizia a dipingere Ugo Ferraretti?,Un quadro intitolato La Preghiera,Il dipinto La Preghiera
FEDERICO LENNOIS,14,Qual è il soggetto principale del quadro di Ugo Ferraretti?,Una donna in preghiera,Una figura femminile che prega
FEDERICO LENNOIS,14,In quale paese l'ispirazione discende più che altrove?,In Italia,Sulle anime italiane
,,,,
FEDERICO LENNOIS,15,Cosa desidera ardentemente Federico?,La gloria,Un nome famoso
FEDERICO LENNOIS,15,Perché il signor Ducastel si trova in Italia?,Per studiare i capolavori del genio,Per studiare l'arte
FEDERICO LENNOIS,15,Qual è il titolo del quadro di Ferraretti elogiato da Lennois?,La Vergine Assunta,La sua Vergine Assunta
,,,,
FEDERICO LENNOIS,16,Chi è l'amico di Ugo Ferraretti che lo spinge ai piaceri?,Federico,L'invido francese Federico
FEDERICO LENNOIS,16,Qual è la malattia di Ugo Ferraretti?,La tisi,Una malattia polmonare come la tisi
FEDERICO LENNOIS,16,Come si chiama il quadro dipinto da Ugo Ferraretti?,La Preghiera,Il quadro intitolato La Preghiera
,,,,
FEDERICO LENNOIS,17,Chi è la compagna di ballo di Ugo Ferraretti per la serata?,La Valdelli,Clorinda Valdelli
FEDERICO LENNOIS,17,Con chi scambia occhiate significative la Valdelli durante il ballo?,Con Federico Lennois,Federico Lennois
FEDERICO LENNOIS,17,Chi avverte Ugo Ferraretti riguardo a Luigia?,Il dominò nero,Una maschera con un dominò nero
,,,,
FEDERICO LENNOIS,18,Chi è il personaggio moribondo?,Ugo,Il giovane pittore Ugo
FEDERICO LENNOIS,18,Qual è la nazionalità di Federico?,Francese,È francese
