Book,ParagraphIndex,Question,AnswerA,AnswerB
IL ROMANZO DELLA MORTE,1,Qual è il motivo della partenza di Fausto prima del suo ritorno?,Per completare i suoi studi universitari,Per proseguire gli studi all'estero
IL ROMANZO DELLA MORTE,1,Qual è il legame tra Filippo Pisani e Fausto?,Sono amici d'infanzia,Sono stati compagni di scuola
IL ROMANZO DELLA MORTE,1,In quale località si trova la villa di don Paolo Giudici?,A Villa Serena,Nella tenuta di Villa Serena
,,,,
IL ROMANZO DELLA MORTE,2,Fausto Lamberti sposa Argìa?,"Sì, la sposa.",I due si uniscono in matrimonio.
IL ROMANZO DELLA MORTE,2,Qual è il nome del professore di Fausto Lamberti?,Si chiama [Nome del professore].,Il suo nome è [Nome del professore].
IL ROMANZO DELLA MORTE,2,Come si chiama la sorella di Argìa?,Si chiama [Nome della sorella].,Il suo nome è [Nome della sorella].
,,,,
IL ROMANZO DELLA MORTE,3,Qual è la professione del narratore?,È un medico,Svolge la professione di dottore
IL ROMANZO DELLA MORTE,3,Qual è il legame tra il narratore e Don Paolo?,Sono amici,Sono legati da un'amicizia
IL ROMANZO DELLA MORTE,3,Quale evento del passato di Don Paolo ha causato la sua profonda avversione per la morte?,La perdita di una persona cara,Un'esperienza traumatica legata alla morte
,,,,
IL ROMANZO DELLA MORTE,4,Fausto e Argìa si uniscono in matrimonio?,"Sì, si sposano.",Diventano marito e moglie.
IL ROMANZO DELLA MORTE,4,Don Paolo è un sacerdote?,"Sì, è un prete.",È un ecclesiastico.
IL ROMANZO DELLA MORTE,4,Qual è la professione del professore che cura don Paolo?,È un medico.,Svolge la professione di dottore.
,,,,
IL ROMANZO DELLA MORTE,5,Come si chiama il giovine che segue Argìa?,Si chiama Andrea.,Il suo nome è Andrea.
IL ROMANZO DELLA MORTE,5,Qual è il rapporto tra Argìa e il giovine?,Sono fidanzati.,Il giovine è il fidanzato di Argìa.
IL ROMANZO DELLA MORTE,5,Cosa succede alla villa che Argìa maledice?,Viene distrutta da un incendio.,La villa brucia completamente.
,,,,
IL ROMANZO DELLA MORTE,6,Qual è il nome del giovane innamorato di Argìa?,[Nome del giovane],Si chiama [Nome del giovane]
IL ROMANZO DELLA MORTE,6,Chi è la contessina d'Arco menzionata dal giovane?,[Nome completo della contessina],Il suo nome è [Nome completo della contessina]
