Book,ParagraphIndex,Question,AnswerA,AnswerB
8 ANIME IN UNA BOMBA ROMANZO ESPLOSIVO,1,Dove si trova la cascina Olivotto?,Sul Piave,Vicino al fiume Piave
8 ANIME IN UNA BOMBA ROMANZO ESPLOSIVO,1,Quale strumento musicale è presente alla mensa?,Un pianoforte a coda,Un grande pianoforte
,,,,
8 ANIME IN UNA BOMBA ROMANZO ESPLOSIVO,2,Cosa viene installato con grande fatica?,Un pianoforte a coda,Un grande pianoforte
8 ANIME IN UNA BOMBA ROMANZO ESPLOSIVO,2,Cosa entra in vigore da questa sera?,Il nuovo tiro di sbarramento,Un nuovo tiro di sbarramento
8 ANIME IN UNA BOMBA ROMANZO ESPLOSIVO,2,Quale precauzione è data per le nuove granate?,Non strappare il nastro dal cappelletto rosso,Non strappare il nastro togliendo il cappelletto
,,,,
8 ANIME IN UNA BOMBA ROMANZO ESPLOSIVO,3,Qual è la professione di Bianca?,È professoressa di botanica.,Insegna botanica.
8 ANIME IN UNA BOMBA ROMANZO ESPLOSIVO,3,A chi è indirizzata la lettera di Bianca?,A un futurista.,Al futurista.
8 ANIME IN UNA BOMBA ROMANZO ESPLOSIVO,3,Quale parassita vegetale è descritto nella lettera di Bianca?,La Phytomyza Flavicornis.,Il parassita Phytomyza Flavicornis.
,,,,
8 ANIME IN UNA BOMBA ROMANZO ESPLOSIVO,4,Chi ha scritto la lettera che descrive le piante infette?,Bianca,La donna di nome Bianca
8 ANIME IN UNA BOMBA ROMANZO ESPLOSIVO,4,Chi ha ricevuto la lettera di Bianca e ha risposto?,Il futurista,L'autore futurista
8 ANIME IN UNA BOMBA ROMANZO ESPLOSIVO,4,Su quale pianta Bianca ha osservato le infezioni degli insetti?,Sul cavolo,Sulla radice del cavolo
,,,,
8 ANIME IN UNA BOMBA ROMANZO ESPLOSIVO,5,Come si sente la persona che sogna?,Trema e sviene,È inchiodata dal sogno e sviene
8 ANIME IN UNA BOMBA ROMANZO ESPLOSIVO,5,Come viene descritto l'animale che appare nel sogno?,È una bestiolina stranissima,È un piccolo animale avido
8 ANIME IN UNA BOMBA ROMANZO ESPLOSIVO,5,Qual è il luogo principale in cui si svolge il sogno?,Il bosco,Un grande bosco verdombrardente
,,,,
8 ANIME IN UNA BOMBA ROMANZO ESPLOSIVO,6,Cosa succede al termometro di Dionisi?,Viene rotto,Gli viene rotto
8 ANIME IN UNA BOMBA ROMANZO ESPLOSIVO,6,Chi viene invitato al banchetto futurista dopo la fuga delle ragazze?,La vacca,Una vacca
8 ANIME IN UNA BOMBA ROMANZO ESPLOSIVO,6,Cosa chiedono gli Arditi al loro arrivo?,Cibo e bevande,Di mangiare e bere
,,,,
8 ANIME IN UNA BOMBA ROMANZO ESPLOSIVO,7,Cosa scrissero i soldati sulla coscia della vacca?,Orgoglio italiano,Le parole 'Orgoglio italiano'
8 ANIME IN UNA BOMBA ROMANZO ESPLOSIVO,7,Dove ha trascorso parte dell'adolescenza la 4ª Anima?,Nelle carrozzelle erotiche del mondo,In carrozzelle erotiche
8 ANIME IN UNA BOMBA ROMANZO ESPLOSIVO,7,In quale città la 4ª Anima ha navigato con taxis lussuriosi?,A Parigi,Nella città di Parigi
,,,,
