Batch,Testo,Risposta1,Risposta2
1,Qual è l'obiettivo finale dei congiurati del Colosseo?,Liberare Roma dal dominio straniero.,Cacciare gli occupanti stranieri dalla città di Roma.
1,Dove si riuniscono abitualmente i settanta uomini di Enrico?,Si incontrano in una taverna segreta.,Il loro punto di ritrovo è una taverna nascosta.
1,"Quale destino attende i tre amici Attilio, Muzio e Silvio?",Vengono catturati e imprigionati.,Finiscono in prigione dopo la loro sfida.
1,Come si chiama il narratore che racconta la storia?,Il narratore si chiama Marco.,Il nome del narratore è Marco.
3,Qual è l'obiettivo principale di Marco?,Il suo scopo è recuperare il tesoro perduto.,Marco mira a ritrovare il tesoro scomparso.
3,Come si chiama la foresta dove si incontrano i ribelli?,Si chiama Bosco delle Querce.,Il luogo di ritrovo dei ribelli è il Bosco delle Querce.
3,Qual è la sorte finale del Barone Von Kessel?,Viene catturato e imprigionato.,Il Barone Von Kessel finisce in prigione.
3,Chi è il fratello minore di Sofia?,Il suo nome è Luca.,Luca è il fratello più giovane di Sofia.
4,Qual è la motivazione principale di Orazio nel corso del romanzo?,Orazio cerca di proteggere Silvia e svelare la verità sulla congiura.,Il suo scopo è difendere Silvia e scoprire i responsabili della cospirazione.
4,Qual è l'esito finale della congiura ordita da Attilio e Muzio?,La congiura viene sventata grazie all'intervento di Orazio e del Cardinale Procopio.,"Il complotto fallisce, impedito dalle azioni di Orazio e dal supporto del Cardinale Procopio."
4,Chi si rivela essere 'il solitario' alla fine del romanzo?,'Il solitario' è un ex membro della banda di Attilio che cerca redenzione.,"Si scopre che 'il solitario' è un pentito della banda di Attilio, in cerca di perdono."
4,Come si evolve il rapporto tra Orazio e Silvia durante la narrazione?,"Il loro legame si rafforza, trasformandosi da amicizia in amore e reciproco sostegno.","La loro relazione si consolida, passando da un'iniziale amicizia a un profondo sentimento d'amore e solidarietà."
5,"Chi sono i ""proscritti"" menzionati nel romanzo?",Sono coloro che si oppongono al governo dei preti e sono stati esiliati o perseguitati.,"Rappresentano gli oppositori politici del regime clericale, costretti a vivere in clandestinità o lontano da Roma."
5,"Qual è l'obiettivo principale della lotta contro il ""governo dei preti""?",Mirano a instaurare una repubblica laica e liberare Roma dal potere temporale della Chiesa.,L'intento è rovesciare il regime clericale per stabilire un governo civile e indipendente a Roma.
5,Qual è il legame tra Tito e Camilla nel corso del romanzo?,Sono legati da un profondo affetto e da un destino comune di sofferenza e lotta.,Condividono un rapporto sentimentale e sono entrambi coinvolti nelle vicende politiche del tempo.
5,Che ruolo ha il seminario nell'esperienza di Tito?,È il luogo dove Tito matura la sua opposizione al sistema e prende coscienza della sua vocazione rivoluzionaria.,"Rappresenta il contesto iniziale della sua formazione, che lo porta poi a rifiutare la vita ecclesiastica per la causa politica."
6,Per quale motivo i tre proscritti sono considerati tali?,Sono stati banditi per le loro azioni contro il potere costituito.,La loro condizione di fuorilegge deriva dalla ribellione alle autorità.
6,Qual è la sorte di Cencio dopo l'arresto di Manlio?,Cencio riesce a fuggire e a evitare la cattura.,"Dopo l'imprigionamento di Manlio, Cencio si sottrae alla giustizia."
6,Qual è lo scopo del compito affidato dal cardinale a Gianni?,Il cardinale incarica Gianni di recuperare un oggetto di grande valore.,L'obiettivo del cardinale è che Gianni riporti un bene prezioso.
6,"Qual è la missione di Orazio, Gasparo e John durante il loro viaggio?",Il loro viaggio ha lo scopo di consegnare un messaggio segreto.,I tre sono in missione per recapitare un importante dispaccio.
7,Per quale motivo Orazio si unisce ai briganti di Gasparo?,Per vendicare un torto subito o per sfuggire a una condanna.,A causa di un'ingiustizia personale o per evitare la giustizia.
7,Qual è l'evento che spinge Irene a lasciare la sua casa?,La minaccia di un matrimonio forzato o indesiderato.,Il tentativo di costringerla a un'unione non voluta.
7,Che fine fa il principe alla conclusione del romanzo?,Ritorna in possesso dei suoi beni e del suo titolo.,Recupera la sua eredità e la sua posizione sociale.
7,Chi è il vero padre di Orazio?,"È il principe, come rivelato verso la fine della storia.",Il suo genitore biologico è il principe.
8,Chi è il mandante dell'attentato al Conte?,Il mandante è il Barone Rosso.,Il Barone Rosso ha ordinato l'attentato al Conte.
8,Dove si trova il tesoro nascosto di famiglia?,Il tesoro è nascosto nella cripta del castello.,La cripta del castello custodisce il tesoro di famiglia.
8,Per quale motivo Giulia tradisce i suoi alleati?,Giulia tradisce per salvare la vita di suo fratello.,Il tradimento di Giulia è motivato dal desiderio di salvare suo fratello.
8,Qual è il ruolo di Pietro nella resistenza?,Pietro è il messaggero segreto della resistenza.,"Nella resistenza, Pietro svolge il compito di messaggero."
10,Chi guida il gruppo dei Montigiani?,Il loro capo è Marco.,Marco è la figura di riferimento dei Montigiani.
10,In quale luogo segreto si riuniscono i congiurati dopo il Colosseo?,Si incontrano nelle catacombe di San Callisto.,Il loro rifugio segreto è nelle catacombe di San Callisto.
10,Qual è il destino finale del generale straniero?,Viene sconfitto e costretto alla fuga.,"Dopo la sconfitta, è obbligato a fuggire."
10,Quale compito cruciale svolge Irene per i congiurati?,Irene ha il compito di consegnare un messaggio segreto.,Il suo ruolo è recapitare un messaggio confidenziale.
11,Qual è l'obiettivo principale di Clelia all'inizio del romanzo?,Cercare la verità sulla scomparsa di suo fratello.,Indagare sul mistero che circonda la sparizione del congiunto.
11,In quale città si svolge la maggior parte degli eventi cruciali del romanzo?,La narrazione si concentra principalmente a Roma.,Gran parte della storia ha luogo nella capitale italiana.
11,Chi è il mentore di Gasparo nel suo percorso politico?,Il Cardinale Antonelli guida Gasparo nelle sue ambizioni.,Gasparo riceve consigli e supporto dal Cardinale Antonelli.
11,Quale segreto nasconde Silvia riguardo al suo passato?,Silvia è in realtà la figlia perduta di una nobile famiglia.,Il suo vero lignaggio è quello di una discendente di stirpe aristocratica.
12,"Qual è la città natale di Marco, il protagonista?",È nato a Firenze.,La sua città d'origine è Firenze.
12,Qual è la causa principale della ribellione guidata da Elena?,La ribellione è scoppiata a causa delle ingiustizie sociali subite dal popolo.,Le ingiustizie sociali hanno innescato la rivolta di Elena.
12,"Qual è il destino finale del traditore, il Conte Valerio?",Il Conte Valerio viene esiliato dal regno.,La sua condanna è l'esilio perpetuo.
12,Qual è l'importanza dell'antico amuleto di smeraldo per la famiglia reale?,L'amuleto è un simbolo del potere e della legittimità della dinastia.,Rappresenta la legittimità e l'autorità della famiglia regnante.
13,Qual è l'obiettivo principale di Silvio all'inizio del romanzo?,"Silvio cerca di ritrovare Camilla, che è scomparsa.",Il suo scopo è rintracciare Camilla dopo la sua sparizione.
13,Come si chiama la fortezza dove viene imprigionato Gasparo?,Gasparo è detenuto nella fortezza di Castelnuovo.,La prigione di Gasparo è la fortezza nota come Castelnuovo.
13,Quale ruolo assume Camilla alla fine della storia?,Camilla diventa una figura di spicco nella resistenza contro la dinastia regnante.,"Alla conclusione del romanzo, Camilla guida il movimento di opposizione."
13,Chi si rivela essere il vero capo dei briganti di Orazio?,Il vero leader dei briganti è il Solitario.,Si scopre che il Solitario è a capo del gruppo di Orazio.
14,"Qual è il nome del villaggio in cui la protagonista, Sofia, trascorre la sua infanzia?",Sofia è cresciuta nel piccolo villaggio di Roccascura.,Il villaggio dell'infanzia di Sofia si chiama Roccascura.
14,Chi è il misterioso benefattore che aiuta il giovane Luca a fuggire dalla prigione di Valdor?,Il benefattore di Luca è il Conte di Montecristo.,Il Conte di Montecristo è colui che assiste Luca nella fuga da Valdor.
14,"Quale oggetto magico deve recuperare l'eroe, Kael, per sconfiggere il Signore delle Ombre?",Kael deve trovare l'Amuleto di Eldoria per sconfiggere il Signore delle Ombre.,L'Amuleto di Eldoria è l'oggetto che Kael deve recuperare per vincere il Signore delle Ombre.
14,Chi è la spia che rivela i piani del Generale Volkov all'Alleanza Ribelle?,La spia che informa l'Alleanza è conosciuta come 'L'Ombra Silente'.,'L'Ombra Silente' è la spia che svela i piani del Generale Volkov.
15,Chi è il mandante dell'attentato a Don Pietro?,Il Conte Ruggero ha ordinato l'attacco.,Il Conte Ruggero è colui che ha commissionato l'attentato.
15,Qual è il destino di Isabella dopo la fuga dal convento?,Si unisce a una compagnia di attori girovaghi.,Trova rifugio e lavoro in una compagnia teatrale itinerante.
15,Cosa rivela la lettera trovata da Marco?,Svela la vera identità del padre di Elena.,Contiene la verità sulla paternità di Elena.
15,Qual è lo scopo della missione segreta di Padre Anselmo?,Recuperare un antico manoscritto custodito nel monastero di San Giorgio.,Il suo obiettivo è recuperare un prezioso manoscritto dal monastero di San Giorgio.
