Book,ParagraphIndex,Question,AnswerA,AnswerB
NO ROMANZO,1,Come si chiama la fanciulla di cui parlano Ida e Ghita?,Il suo nome è [Nome della fanciulla],Si chiama [Nome della fanciulla]
NO ROMANZO,1,Qual è il legame tra Ida e Ghita?,Sono [Relazione tra Ida e Ghita],Il loro rapporto è di [Relazione tra Ida e Ghita]
NO ROMANZO,1,In quale luogo si trova la casa di Ida e Ghita?,Si trova a [Nome del luogo],La casa è situata in [Nome del luogo]
,,,,
NO ROMANZO,2,Qual è il nome della fanciulla che si prende cura di Atta Troll?,Si chiama Agnese,Il suo nome è Agnese
NO ROMANZO,2,Che rapporto di parentela lega la fanciulla all'ammalata?,È sua sorella,Sono sorelle
NO ROMANZO,2,Cosa succede ad Atta Troll alla fine della storia?,Il gatto scappa via,Atta Troll fugge
,,,,
NO ROMANZO,3,Qual è l'esito della malattia della madre di Ida?,La madre di Ida non guarisce,La madre di Ida muore
NO ROMANZO,3,Ida continua a coltivare le sue tendenze letterarie?,"Sì, Ida prosegue i suoi studi letterari",Ida non abbandona la sua passione per la letteratura
NO ROMANZO,3,Il dottore ha un ruolo significativo nella vita di Ida oltre a quello professionale?,"Sì, il dottore diventa un interesse amoroso per Ida",Il dottore e Ida sviluppano un legame sentimentale
,,,,
NO ROMANZO,4,Chi è il padre di Jela?,Il Conte,Il Conte è il suo genitore
NO ROMANZO,4,Qual è il legame di parentela tra Ida e l'ingegnere?,È suo padre,L'ingegnere è il padre di Ida
NO ROMANZO,4,Qual è il rapporto tra Geltrude e la tenuta di Valdiffusa?,È la proprietaria della tenuta,Geltrude possiede Valdiffusa
,,,,
NO ROMANZO,5,Chi sposa Ida?,Nessuno,Non si sposa
NO ROMANZO,5,Qual è il rapporto tra Lucia e il sarto?,Sono sposati,Sono marito e moglie
NO ROMANZO,5,Qual è la principale occupazione di Ida da adulta?,Si dedica agli studi,Persegue la conoscenza
,,,,
NO ROMANZO,6,Qual è l'attività lavorativa di Ida?,Gestisce una bottega di abiti,È una sarta o modista
NO ROMANZO,6,Qual è il rapporto tra Lucia e Ida?,Lucia è la domestica di Ida,Lucia è la cameriera e compagna di Ida
NO ROMANZO,6,Con quale frequenza Ida e il ragazzo si parlano?,Si parlano ogni giorno,Non passa giorno senza che si parlino
,,,,
NO ROMANZO,7,Qual era l'ambizione principale di Ida riguardo ai suoi studi?,Un futuro di successo e riconoscimento,Una vita di prestigio e intelletto
NO ROMANZO,7,Chi si opponeva all'istruzione delle donne nel contesto di Ida?,Geltrude e l'arciprete,L'arciprete e Geltrude
NO ROMANZO,7,Qual era la condizione economica della famiglia di Ida?,Erano in miseria,La famiglia era povera
,,,,
NO ROMANZO,8,Che fine fa la madre di Ida?,Muore di cancro,Soccombe alla malattia
NO ROMANZO,8,Quale professione intraprende Ida per mantenersi?,Diventa maestra,Inizia a insegnare
NO ROMANZO,8,Il calzolaio che ammira Ida la sposa?,"Sì, la sposa",Diventa suo marito
,,,,
NO ROMANZO,9,Qual è la causa della profonda tristezza di Ida?,La perdita del suo amato,La morte della persona che amava
NO ROMANZO,9,Qual è il legame tra Ghita e Ida?,Ghita è la domestica di Ida,Ghita serve Ida come cameriera
NO ROMANZO,9,Come si conclude la vicenda di Ida nel libro?,Ida si ritira a vivere in solitudine,Il suo destino è un'esistenza isolata
,,,,
NO ROMANZO,10,Jela riesce a ottenere il diadema di contessa?,"Sì, Jela ottiene il diadema.",Jela riesce ad acquistare il diadema.
NO ROMANZO,10,Quale ruolo assume Ida nella vita di Jela?,Ida diventa la confidente di Jela.,Ida assume il ruolo di compagna di Jela.
NO ROMANZO,10,Il rapporto tra Jela e Ida rimane amichevole?,"No, il loro rapporto si deteriora.",Il legame tra Jela e Ida diventa conflittuale.
,,,,
NO ROMANZO,11,Da dove proviene la maestra di Jela?,Dal convento,Da un convento
NO ROMANZO,11,Qual è il rapporto tra il conte e Jela?,È suo padre,Jela è la figlia del conte
NO ROMANZO,11,Cosa intende fare il conte per la maestra di Jela?,Le fornirà un collocamento o una dote,Le darà un lavoro o una dote
,,,,
