Batch,Testo,Risposta1,Risposta2
1,Chi è il principale promotore del progetto della 'Fenice'?,"È Don Pio, il principe del principato.",Il principe Don Pio è colui che ha ideato e sostenuto la costruzione della 'Fenice'.
1,Quale decisione importante prende Fabio Rosati riguardo al suo futuro?,Fabio Rosati decide di lasciare la sua professione per dedicarsi a un nuovo scopo.,Egli sceglie di abbandonare il suo lavoro precedente per intraprendere una nuova strada.
1,Qual è il destino finale del teatro distrutto dall'incendio?,Il teatro viene ricostruito e riaperto al pubblico.,"Dopo l'incendio, l'edificio teatrale viene restaurato e torna operativo."
1,Qual è il vero motivo per cui Don Pio desidera l'inaugurazione della 'Fenice'?,Don Pio vuole ripristinare il prestigio della sua famiglia e del principato.,Il suo obiettivo è ridare lustro al nome della sua casata e al suo territorio.
2,Ubaldo Caruso muore durante il romanzo?,"Sì, Ubaldo Caruso muore nel corso della storia.",La vita di Ubaldo Caruso si conclude prima della fine del romanzo.
2,Il progetto del teatro viene completato a Marsiliana?,"No, il progetto del teatro non viene mai portato a termine.",La costruzione del teatro a Marsiliana rimane incompiuta.
2,Qual è il motivo principale per cui Maria si reca a Venezia?,Maria si reca a Venezia per sfuggire alla sua situazione a Marsiliana.,Il viaggio di Maria a Venezia è un tentativo di iniziare una nuova vita lontano da Marsiliana.
2,Il Principe di Marsiliana supporta il progetto del teatro?,"Sì, il Principe di Marsiliana offre il suo appoggio al progetto.",Il Principe di Marsiliana è un sostenitore del progetto del teatro.
3,Qual è il nome del giornale in cui lavora Don Pio?,Il giornale si chiama Il Crociato,Il quotidiano è denominato Il Crociato
3,Qual è l'orientamento politico del giornale Il Crociato?,È un giornale di stampo conservatore e cattolico,Sostiene posizioni tradizionaliste e religiose
3,Don Pio della Marsiliana riesce a farsi eleggere deputato?,"No, Don Pio non viene eletto deputato",La sua candidatura non ha successo
3,Qual è il legame tra Don Pio e Maria?,Maria è la sua amante segreta,È la donna con cui Don Pio ha una relazione clandestina
4,Qual è l'obiettivo principale di Don Pio all'inizio del romanzo?,Don Pio desidera recuperare il suo patrimonio.,Il suo scopo è rientrare in possesso dei beni di famiglia.
4,Qual è il destino di Maria dopo il matrimonio con Don Pio?,Maria si trasferisce con Don Pio nella sua residenza.,"Dopo le nozze, Maria va a vivere con il marito."
4,Chi aiuta Don Pio a recuperare il suo patrimonio?,Un avvocato di fiducia assiste Don Pio nella causa.,È un legale esperto a supportarlo nel processo di recupero.
4,Qual è il ruolo di Fabio Rosati nella vicenda di Don Pio?,Fabio Rosati indaga sulla storia di Don Pio per il suo giornale.,Il cronista Fabio Rosati segue da vicino le vicende di Don Pio.
5,Qual è il motivo principale per cui Marco ha intrapreso il suo viaggio?,Cercava la verità sulla scomparsa di sua sorella.,Voleva scoprire cosa fosse successo a sua sorella scomparsa.
5,Qual è il nome del villaggio dove si svolge la maggior parte della storia?,La maggior parte degli eventi si svolge nel villaggio di Roccanera.,Il villaggio principale della narrazione è Roccanera.
5,Chi è il principale oppositore di Marco nel romanzo?,Il suo principale avversario è il Barone De Santis.,Il Barone De Santis è la figura che si oppone maggiormente a Marco.
5,"Qual è il destino finale di Elena, la sorella di Marco?","Elena viene ritrovata viva, ma con la memoria alterata.","Alla fine del romanzo, Elena è viva ma ha perso parte della sua memoria."
6,Qual è l'orientamento politico di Don Pio?,Don Pio è un esponente del partito conservatore.,Il Principe della Marsiliana rappresenta la fazione conservatrice.
6,Per quale motivo il giornale critica Don Pio?,Il giornale lo accusa di corruzione e clientelismo.,La stampa critica Don Pio per pratiche illecite e favoritismi.
