Book,ParagraphIndex,Question,AnswerA,AnswerB
,,,,
,,,,
Il_mistero_del_poeta,3,Chi suonava il piano nella sala di conversazione?,Una signora inglese,La signora inglese
,,,,
Il_mistero_del_poeta,4,Qual è la relazione tra il signore pallido e malato e Mrs. Yves?,Sono marito e moglie,È suo marito
Il_mistero_del_poeta,4,Sotto quali alberi siedono Mrs. Yves e suo marito nei giorni seguenti?,Sotto gli ippocastani,Sotto alberi di ippocastano
,,,,
Il_mistero_del_poeta,5,Qual è l'opinione di Mrs. Yves sulla stabilità dei sentimenti umani?,Non crede siano stabili,Li ritiene instabili
Il_mistero_del_poeta,5,"Oltre a Leopardi, quali altri tipi di libri legge Mrs. Yves?",Libri di buona fama e timorati,Libri pii e di buona reputazione
,,,,
,,,,
Il_mistero_del_poeta,7,Qual è la religione di Miss Yves?,È islamita,Professa la fede islamica
,,,,
Il_mistero_del_poeta,8,Violet Yves è sposata?,"No, è fidanzata","No, è solo fidanzata"
Il_mistero_del_poeta,8,In quale paese è nata Violet Yves?,In Italia,Nel paese Italia
Il_mistero_del_poeta,8,Con chi vive Violet Yves?,Con i suoi tre zii paterni,Con tre zii da parte di padre
,,,,
Il_mistero_del_poeta,9,Da quale paese era partita Miss Yves?,Dall'Italia,Dal paese Italia
,,,,
,,,,
,,,,
Il_mistero_del_poeta,12,Chi è Toplerus junior?,È il fratello del dottor Topler.,È il fratello del signor Topler.
Il_mistero_del_poeta,12,Dove viene offerta la colazione ai viaggiatori?,Nel bosco vicino a Eichstätt.,Nel bosco di Eichstätt.
Il_mistero_del_poeta,12,Come appare Violet al suo arrivo a Eichstätt?,È pallida come una morta.,È molto pallida.
,,,,
Il_mistero_del_poeta,13,Cosa desidera fare la signorina Luise?,Visitare l'Italia,Andare in Italia
,,,,
Il_mistero_del_poeta,14,Qual è la relazione tra la signorina Luise e Topler juniore?,Sono fidanzati,Sono una coppia di fidanzati
Il_mistero_del_poeta,14,Chi è la signora Treuberg rispetto alla signorina Luise?,È sua sorella,La sorella della signorina Luise
Il_mistero_del_poeta,14,Chi è il fratello di Topler juniore?,Il dottor Topler,Il vecchio Topler
,,,,
,,,,
,,,,
Il_mistero_del_poeta,17,Chi è la fidanzata del fratello di Topler?,Miss Yves,La signorina Yves
,,,,
Il_mistero_del_poeta,18,Dove abita la signorina Luise?,Nella Marktgasse,Nella casa dei von Dobra
,,,,
Il_mistero_del_poeta,19,Chi sposerà Violet?,Il professor Topler,Professor Topler
Il_mistero_del_poeta,19,Chi accompagna Luise all'incontro?,La sua sorellina,Sua sorella minore
,,,,
Il_mistero_del_poeta,20,Come ha saputo il professore ogni cosa?,Da una lettera,Tramite una lettera ricevuta
Il_mistero_del_poeta,20,Dove doveva recarsi Miss Yves?,A Norimberga,Nella città di Norimberga
Il_mistero_del_poeta,20,Cosa consigliò il dottor Topler di fare riguardo al professore e a Miss Yves?,Di non dire niente al professore e anticipare la partenza di Miss Yves,Di tacere al professore e far partire Miss Yves per Norimberga in anticipo
,,,,
Il_mistero_del_poeta,21,Chi è la persona che deve fare la comunicazione?,Il fratello di Topler seniore.,"Hans, il professore."
Il_mistero_del_poeta,21,Qual è l'argomento principale della comunicazione?,La salute di una persona.,Le condizioni di salute di un individuo.
Il_mistero_del_poeta,21,Quando la persona ebbe una grave indisposizione?,Il 22 aprile dell'anno precedente.,Nell'aprile dell'anno scorso.
,,,,
,,,,
Il_mistero_del_poeta,23,Quale evento importante riguardante Violet accadde a Norimberga?,Il professor Topler ruppe il suo impegno con lei,Il professor Topler si sciolse dal suo impegno con Violet
,,,,
,,,,
Il_mistero_del_poeta,25,Qual è la condizione fisica di Violet?,Soffre di spossatezza,È debole e stanca
,,,,
,,,,
Il_mistero_del_poeta,27,A quale città è indirizzata la lettera di Violet?,A Wetzlar,Nella città di Wetzlar
,,,,
Il_mistero_del_poeta,28,"Dove si sono incontrati Violet, Emma e l'ex-amante?",Alla Drachenburg,Presso la Drachenburg
Il_mistero_del_poeta,28,Chi è la persona che sa quasi tutto del passato di Violet?,Emma,L'amica Emma
,,,,
Il_mistero_del_poeta,29,Chi è il testimone dello sposo?,Il signor Bröhl,Bröhl
,,,,
Il_mistero_del_poeta,30,Cosa accade a Violet a Kastel?,Muore a Kastel,Decede nella sala d'aspetto di Kastel
,,,,
