Book,ParagraphIndex,Question,AnswerA,AnswerB
IL DESIGNATO ROMANZO,1,Qual è la speranza che il signor Sergio desidera realizzare con l'aiuto del signor Folengo?,Sposare la figlia del signor Folengo,Ottenere la mano della figlia di Folengo
IL DESIGNATO ROMANZO,1,Qual è il nome completo del signor Folengo?,Pietro Folengo,Il suo nome è Pietro Folengo
IL DESIGNATO ROMANZO,1,Qual è il cognome del signor Sergio?,Valeri,Il suo cognome è Valeri
,,,,
IL DESIGNATO ROMANZO,2,Chi chiede la mano di Lidia?,Il signor Lacava,"Il narratore, signor Lacava"
IL DESIGNATO ROMANZO,2,Qual è il legame di parentela tra Lidia e i coniugi Folengo?,Lidia è la figlia dei coniugi Folengo,È la loro figlia
IL DESIGNATO ROMANZO,2,Come si chiama la domestica dei Folengo?,Geltrude,La domestica si chiama Geltrude
,,,,
IL DESIGNATO ROMANZO,3,Qual è il titolo nobiliare del protagonista che si prepara a sposare Lidia?,Conte,Il titolo di Conte
IL DESIGNATO ROMANZO,3,In quale città si celebra il matrimonio del protagonista e Lidia?,A Milano,Nella città di Milano
IL DESIGNATO ROMANZO,3,Chi è il principale artefice delle insidie che minacciano il matrimonio del protagonista e Lidia?,Un rivale in amore,Un nemico sociale
,,,,
IL DESIGNATO ROMANZO,4,Qual è la relazione tra il narratore e Lidia?,Sono amanti,Sono una coppia di innamorati
IL DESIGNATO ROMANZO,4,Come si chiama il ricovero gestito dal signor Pfaff?,Il ricovero di pace e di salute,Il piccolo albergo del signor Pfaff
IL DESIGNATO ROMANZO,4,Qual è l'epigrafe posta sul ricovero del signor Pfaff?,"VENITE, DOLENTES","L'iscrizione 'VENITE, DOLENTES'"
,,,,
IL DESIGNATO ROMANZO,5,Per quale motivo Lidia e il narratore si recano alla casa Pfaff?,Per cercare una solitudine amorosa,Per trovare un luogo appartato per il loro amore
IL DESIGNATO ROMANZO,5,Chi è il signor Pfaff per il narratore?,È un conoscente del narratore,È l'ospite che accoglie il narratore e Lidia
IL DESIGNATO ROMANZO,5,Perché Lidia non piace al signor Pfaff?,Per la sua figura esile e inadatta al lavoro,Perché non corrisponde al tipo di donna svizzera
,,,,
IL DESIGNATO ROMANZO,6,Qual è la verità dietro le iniziali 'S' e 'A' incise sull'albero?,"Le iniziali non si riferiscono a Sergio, ma a un'altra coppia.",Le lettere 'S' e 'A' sono state incise da persone sconosciute a Sergio.
IL DESIGNATO ROMANZO,6,Come prosegue la relazione tra Sergio e Lidia dopo l'episodio delle iniziali sull'albero?,"Il loro legame si rafforza, superando il sospetto iniziale.","Nonostante il momento di crisi, la coppia ritrova fiducia e continua insieme."
IL DESIGNATO ROMANZO,6,Sergio aveva avuto altre relazioni sentimentali importanti prima di incontrare Lidia?,"No, Lidia è stata la sua prima relazione significativa.",Il narratore non aveva avuto amori precedenti di rilievo.
,,,,
IL DESIGNATO ROMANZO,7,Il narratore riesce a realizzare il suo sogno di fama letteraria?,"No, non raggiunge la fama letteraria.",Abbandona le sue aspirazioni di scrittore.
IL DESIGNATO ROMANZO,7,Quale tipo di vita intraprende il narratore dopo aver rinunciato alle sue ambizioni?,Una vita comune e pratica.,Un'esistenza tranquilla e priva di gloria.
IL DESIGNATO ROMANZO,7,La relazione con Lidia porta al narratore la pace interiore desiderata?,"No, la sua insoddisfazione persiste.",Non trova la piena pace interiore.
,,,,
IL DESIGNATO ROMANZO,8,Chi è la persona da cui Laura Uglio soffre di essere lontana?,Il narratore,Il protagonista del romanzo
IL DESIGNATO ROMANZO,8,Qual è la vera natura della riconciliazione tra Giorgio e Laura Uglio?,È una riconciliazione di facciata,Non è una riconciliazione sincera
IL DESIGNATO ROMANZO,8,Qual era il legame tra il narratore e Laura Uglio prima del suo matrimonio con Giorgio?,Erano stati amanti,Avevano avuto una relazione sentimentale
,,,,
IL DESIGNATO ROMANZO,9,Come si chiama il narratore?,Marco,Il narratore si chiama Marco
IL DESIGNATO ROMANZO,9,In quale città risiede la famiglia Folengo?,A Firenze,Nella città di Firenze
IL DESIGNATO ROMANZO,9,Qual è l'esito finale della relazione tra Laura e Giorgio?,Si sposano,Convolano a nozze
,,,,
IL DESIGNATO ROMANZO,10,Chi è la moglie del narratore?,Lidia,La sua sposa Lidia
IL DESIGNATO ROMANZO,10,Chi è il marito di Laura Uglio?,Giorgio,Il signor Giorgio
IL DESIGNATO ROMANZO,10,Quale strumento musicale suona Ettore Caccianimico?,Il mandolino,Un mandolino
,,,,
IL DESIGNATO ROMANZO,11,Che tipo di legame unisce Sergio e Lidia?,Sono amici intimi,Li lega una profonda amicizia
IL DESIGNATO ROMANZO,11,Chi è la fanciulla che Sergio ha sposato?,Si chiama Anna,È Anna
IL DESIGNATO ROMANZO,11,Qual è il campo in cui Gian Luigi Sideri ambisce alla fama?,Nel campo della letteratura,È uno scrittore
,,,,
IL DESIGNATO ROMANZO,12,Il giovane poeta riesce a sedurre Lidia?,"No, Lidia non cede alle sue lusinghe",Lidia resiste ai tentativi del poeta
IL DESIGNATO ROMANZO,12,Chi è il corteggiatore audace che Sergio teme possa sedurre Lidia?,È il signor Bianchi,Il corteggiatore è il signor Bianchi
IL DESIGNATO ROMANZO,12,Qual è la causa del piccolo falso allarme che turba Sergio?,Un equivoco su un corteggiatore,Un malinteso riguardante un pretendente
,,,,
IL DESIGNATO ROMANZO,13,Come si chiama il narratore del libro?,Emilio Brentani,Il narratore si chiama Emilio Brentani
IL DESIGNATO ROMANZO,13,Che relazione lega Pietro Folengo a Lidia?,È il padre di Lidia,Pietro Folengo è il genitore di Lidia
IL DESIGNATO ROMANZO,13,Qual è il destino del matrimonio tra Lidia e il narratore?,Il loro matrimonio fallisce,La loro unione non ha successo
,,,,
IL DESIGNATO ROMANZO,14,Qual è il legame tra il narratore e Lidia?,Sono sposati,Sono marito e moglie
IL DESIGNATO ROMANZO,14,Quale necessità profonda scopre il narratore riguardo alle donne?,La necessità di cambiare,Il bisogno di una donna diversa da Lidia
IL DESIGNATO ROMANZO,14,Qual è la professione di Andrea nella casa del narratore?,È il domestico,Svolge il ruolo di servitore
,,,,
IL DESIGNATO ROMANZO,15,Pietro accetta la proposta di lavoro al Cairo?,"Sì, accetta l'incarico",Prende la decisione di trasferirsi al Cairo
IL DESIGNATO ROMANZO,15,Lidia guarisce dall'anemia e dalla malaria?,"Sì, recupera la salute",La sua condizione fisica migliora
IL DESIGNATO ROMANZO,15,Lidia supera la sua avversione per la vita mondana?,"No, continua a evitarla",Mantiene la sua risoluzione di sfuggire il mondo
,,,,
IL DESIGNATO ROMANZO,16,Qual è il genere del narratore che visita Ettore Caccianimico?,Femminile,Una donna
IL DESIGNATO ROMANZO,16,Per quale motivo Ettore Caccianimico pronuncia la parola 'Addio' al narratore?,Per la fine della loro relazione,Per concludere il loro rapporto sentimentale
IL DESIGNATO ROMANZO,16,Qual è l'occupazione principale di Ettore Caccianimico al momento dell'incontro con il narratore?,Non ha un'occupazione fissa,È un rentier senza professione
,,,,
IL DESIGNATO ROMANZO,17,Come si chiama il narratore del libro?,[Nome del Protagonista],Il protagonista si chiama [Nome]
IL DESIGNATO ROMANZO,17,Qual è il legame tra Laura Uglio e Lidia?,[Tipo di relazione],Sono legate da [Tipo di relazione]
IL DESIGNATO ROMANZO,17,Dove si sono incontrati per la prima volta il narratore e Laura Uglio in circostanze negative?,A Pallanza,Nella località di Pallanza
,,,,
IL DESIGNATO ROMANZO,18,In quale città risiedono Lidia e il narratore?,A Roma,"Nella capitale italiana, Roma"
IL DESIGNATO ROMANZO,18,Come si sono conosciuti Lidia e il narratore?,Si sono incontrati a una festa di amici,Il loro primo incontro è avvenuto durante un evento sociale
IL DESIGNATO ROMANZO,18,Qual è l'esito finale del matrimonio tra Lidia e il narratore?,Il loro matrimonio termina con un divorzio,Decidono di sciogliere il vincolo matrimoniale
,,,,
IL DESIGNATO ROMANZO,19,Qual è la condizione fisica di Laura?,È incinta,Laura aspetta un bambino
IL DESIGNATO ROMANZO,19,Il narratore è sposato?,"Sì, è sposato",Il narratore ha preso moglie
IL DESIGNATO ROMANZO,19,In quale città si trovano i giardini dove si incontrano il narratore e Laura?,A Roma,Nella città di Roma
,,,,
IL DESIGNATO ROMANZO,20,Qual è il destino del matrimonio tra Lidia e il narratore?,Il loro matrimonio si conclude con una separazione.,Lidia e il narratore si separano.
IL DESIGNATO ROMANZO,20,Qual è la vera natura del legame tra Lidia e Angela Tintaro?,Sono amiche e confidenti.,Angela Tintaro è un'amica fidata di Lidia.
IL DESIGNATO ROMANZO,20,Lidia e il narratore accompagnano il padre di Lidia al Cairo?,"No, non lo accompagnano.",Non si recano al Cairo con lui.
,,,,
IL DESIGNATO ROMANZO,21,Qual è il legame tra il narratore e Lidia?,Sono sposati.,Sono marito e moglie.
IL DESIGNATO ROMANZO,21,Qual è il destino di Laura?,Muore a causa della sua malattia.,Soccombe alla sua infermità.
IL DESIGNATO ROMANZO,21,Qual è il rapporto tra Gian Luigi e Laura?,Sono amanti.,Hanno una relazione segreta.
,,,,
IL DESIGNATO ROMANZO,22,Dove si reca il narratore per trovare Laura?,A Pallanza,Nella località di Pallanza
IL DESIGNATO ROMANZO,22,Chi è Ettore Caccianimico per il narratore?,Un amico,Un suo amico
IL DESIGNATO ROMANZO,22,Qual è la condizione di salute di Laura?,È malata,La sua salute è peggiorata
,,,,
IL DESIGNATO ROMANZO,23,Qual è il destino finale di Laura Uglio?,Muore durante l'operazione,Non sopravvive all'intervento chirurgico
IL DESIGNATO ROMANZO,23,Come si chiama il narratore?,Andrea Sperelli,Il protagonista Andrea Sperelli
IL DESIGNATO ROMANZO,23,Qual è il legame tra Gian Luigi e Laura Uglio?,Sono stati amanti,Hanno avuto una relazione sentimentale
,,,,
IL DESIGNATO ROMANZO,24,Chi è Laura per il narratore?,L'amata del protagonista,La donna amata dal narratore
IL DESIGNATO ROMANZO,24,Qual è il nome del narratore?,Andrea Sperelli,Il conte Andrea Sperelli
IL DESIGNATO ROMANZO,24,In quale città si svolge principalmente la vicenda narrata?,A Roma,Nella città di Roma
,,,,
IL DESIGNATO ROMANZO,25,Qual è la causa del profondo dolore di Gian Luigi?,La morte di Laura e il suo tradimento,La perdita di Laura e la scoperta della sua infedeltà
IL DESIGNATO ROMANZO,25,Per quale motivo Ettore Caccianimico ha manipolato il narratore riguardo a Laura?,Per suo divertimento personale,Per trarre piacere dalla situazione
IL DESIGNATO ROMANZO,25,Come reagisce Lidia alla rivelazione dell'infedeltà del narratore?,Lo affronta con delusione,Esprime il suo disappunto
,,,,
IL DESIGNATO ROMANZO,26,Come si chiamava il marito di Laura Uglio?,Giorgio Uglio,Uglio Giorgio
IL DESIGNATO ROMANZO,26,Per chi scrisse Gian Luigi il romanzo menzionato nell'estratto?,Per Laura Uglio,Per Laura
IL DESIGNATO ROMANZO,26,Dove Laura Uglio ricevette la diagnosi della sua malattia terminale?,A Saint-Moritz,Nella località di Saint-Moritz
,,,,
IL DESIGNATO ROMANZO,27,Lidia tradisce il narratore?,"Sì, Lidia tradisce il narratore",Il tradimento di Lidia viene confermato
IL DESIGNATO ROMANZO,27,Ettore è l'amante di Lidia?,"Sì, Ettore è l'amante di Lidia",Il rapporto tra Ettore e Lidia è di natura amorosa
IL DESIGNATO ROMANZO,27,Qual era il legame tra il narratore e Laura?,Laura era la moglie defunta del narratore,"Il narratore era sposato con Laura, ora morta"
,,,,
IL DESIGNATO ROMANZO,28,Chi è la persona ammalata di cui Sergio si è interessato?,Una conoscente di Lidia e Sergio,Una donna che entrambi conoscevano
IL DESIGNATO ROMANZO,28,Lidia si reca al Cairo?,"Sì, Lidia parte per il Cairo",Lidia si trasferisce al Cairo
IL DESIGNATO ROMANZO,28,Qual è il contenuto della lettera che Sergio tiene nel portafogli?,Contiene informazioni sulle accuse di Lidia,Riguarda la verità sulle accuse mosse a Lidia
,,,,
IL DESIGNATO ROMANZO,29,Qual era la natura del legame tra Lidia e il signor Caccianimico?,Un'amicizia innocente,Un rapporto puramente platonico
IL DESIGNATO ROMANZO,29,Come si risolve la crisi tra Sergio e Lidia?,Si riconciliano definitivamente,Superano le incomprensioni
IL DESIGNATO ROMANZO,29,Il signor Caccianimico segue il consiglio di Pietro Folengo?,Smette di frequentare la villa Folengo,Si allontana dalla famiglia Folengo
,,,,
IL DESIGNATO ROMANZO,30,Qual è il destino di Laura Uglio?,Muore giovane,Scompare prematuramente
IL DESIGNATO ROMANZO,30,Il principe Santanera ostacola il narratore?,"Sì, lo ostacola",Diventa un suo rivale
IL DESIGNATO ROMANZO,30,Gian Luigi sposa la piccola bionda?,"Sì, la sposa",Si unisce in matrimonio con lei
,,,,
