Book,ParagraphIndex,Question,AnswerA,AnswerB
IL ROMANZO DELLA GUERRA NELL'ANNO 1914,1,Chi riteneva che la rete degli interessi impedisse una guerra europea?,Un autorevole professore del Politecnico,Uno dei professori del Politecnico
IL ROMANZO DELLA GUERRA NELL'ANNO 1914,1,In quale istituzione si discuteva dell'impossibilità di una guerra europea?,Al Politecnico,Presso il Politecnico
IL ROMANZO DELLA GUERRA NELL'ANNO 1914,1,Come viene descritto il Kaiser nel contesto della pace?,Un garbato signore e pacifico viaggiatore,Un onesto e pacifico viaggiatore di commercio
,,,,
IL ROMANZO DELLA GUERRA NELL'ANNO 1914,2,Qual era la carica di Benito Mussolini?,Direttore dell'Avanti!,Il direttore del giornale Avanti!
IL ROMANZO DELLA GUERRA NELL'ANNO 1914,2,In quale regione si trova la biblioteca di Renato Serra?,In Romagna,Nella regione della Romagna
,,,,
IL ROMANZO DELLA GUERRA NELL'ANNO 1914,3,Quale posizione ha assunto il Governo italiano?,La neutralità,La neutralità nel conflitto
IL ROMANZO DELLA GUERRA NELL'ANNO 1914,3,Cosa prevedeva il signor H*** riguardo ai Russi?,Che sarebbero andati a Berlino,Che il Cosacco sarebbe andato a Berlino
IL ROMANZO DELLA GUERRA NELL'ANNO 1914,3,Quali giornali sostenevano la neutralità italiana?,"Il Corriere della Sera, il Secolo e l'Avanti!","L'Avanti!, il Secolo e il Corriere della Sera"
,,,,
IL ROMANZO DELLA GUERRA NELL'ANNO 1914,4,Quale posizione aveva assunto inizialmente il governo italiano?,Neutralità,Una posizione di neutralità
IL ROMANZO DELLA GUERRA NELL'ANNO 1914,4,Con quali nazioni l'Italia aveva un trattato di alleanza?,Con la Germania e l'Austria,Con l'Austria e la Germania
,,,,
IL ROMANZO DELLA GUERRA NELL'ANNO 1914,5,Cosa prevede 'quel signore' riguardo alla Germania?,Che vincerà rapidamente,Che si sbrigherà in pochi giorni
,,,,
IL ROMANZO DELLA GUERRA NELL'ANNO 1914,6,Qual è l'evento principale descritto il 3 agosto?,Le dichiarazioni di guerra,L'annuncio di guerra
IL ROMANZO DELLA GUERRA NELL'ANNO 1914,6,Quale nazione è menzionata tra quelle che dichiarano guerra?,L'Inghilterra,La Gran Bretagna
IL ROMANZO DELLA GUERRA NELL'ANNO 1914,6,Chi annuncia di aver levato la spada?,Guglielmo,Il Kaiser Guglielmo
,,,,
IL ROMANZO DELLA GUERRA NELL'ANNO 1914,7,Come si chiama la località in Romagna dove la guerra è poco discussa?,Bellaria,La città di Bellaria
,,,,
IL ROMANZO DELLA GUERRA NELL'ANNO 1914,8,Che tipo di ufficiale è Serra?,Ufficiale di complemento,Un ufficiale di complemento
IL ROMANZO DELLA GUERRA NELL'ANNO 1914,8,Cosa sta accadendo il 28 Agosto?,Una grande battaglia è impegnata,È in corso una grande battaglia
,,,,
IL ROMANZO DELLA GUERRA NELL'ANNO 1914,9,Che professione svolge Mario Missiroli?,È un giornalista.,Lavora come giornalista.
IL ROMANZO DELLA GUERRA NELL'ANNO 1914,9,Come viene descritto Mario Missiroli da un altro giornalista?,Viene definito germanofilo.,È considerato germanofilo.
IL ROMANZO DELLA GUERRA NELL'ANNO 1914,9,Qual è la fede religiosa di Mario Missiroli?,È cattolico.,Professa la fede cattolica.
,,,,
IL ROMANZO DELLA GUERRA NELL'ANNO 1914,10,Missiroli è un germanofilo?,No,Non è propriamente un germanofilo
IL ROMANZO DELLA GUERRA NELL'ANNO 1914,10,"Secondo Missiroli, quali popoli combattono nella guerra?",I popoli giovani e poveri contro i popoli ricchi e capitalisti,La Germania contro l'Inghilterra e la Francia
IL ROMANZO DELLA GUERRA NELL'ANNO 1914,10,Qual è l'unica arma dell'Inghilterra secondo Missiroli?,La flotta,La sua flotta navale
,,,,
IL ROMANZO DELLA GUERRA NELL'ANNO 1914,11,Cosa spera di fare Serra?,Fare alle fucilate,Combattere con le armi
IL ROMANZO DELLA GUERRA NELL'ANNO 1914,11,Dove si sono chiusi i Belgi?,Ad Anversa,Nella città di Anversa
IL ROMANZO DELLA GUERRA NELL'ANNO 1914,11,Per quale motivo i Russi fanno la guerra?,Per onore di firma,Per rispettare un impegno
,,,,
IL ROMANZO DELLA GUERRA NELL'ANNO 1914,12,Chi recitava i versi di Berchet sui Lombardi?,Carducci,Il poeta Carducci
IL ROMANZO DELLA GUERRA NELL'ANNO 1914,12,Chi giudicò Tello Ateniese beatissimo?,Solone,Il legislatore Solone
IL ROMANZO DELLA GUERRA NELL'ANNO 1914,12,Quale costellazione viene osservata di notte e al mattino?,Il carro dell'Orsa,L'Orsa Maggiore
,,,,
IL ROMANZO DELLA GUERRA NELL'ANNO 1914,13,Come descrisse Gherardo Hauptmann la situazione della Germania?,Disse che la Germania aveva un anello di ferro intorno al petto.,Affermò che il petto della Germania doveva rompere un cerchio.
IL ROMANZO DELLA GUERRA NELL'ANNO 1914,13,Qual è la convinzione principale della governante tedesca riguardo alla Germania?,Che la Germania educa il mondo alla tedesca.,Che la Germania fa onore e beneficio al mondo.
,,,,
IL ROMANZO DELLA GUERRA NELL'ANNO 1914,14,Cosa assicura il Conte Conrad von Hotzendorf all'Italia?,Nessuna intenzione aggressiva,Di non avere intenzioni aggressive
IL ROMANZO DELLA GUERRA NELL'ANNO 1914,14,Cosa faceva la signorina slava nella chiesa russa?,Era intonatrice di cori,Intonava i cori
IL ROMANZO DELLA GUERRA NELL'ANNO 1914,14,Quale situazione descriveva Missiroli ai suoi amici?,Di dover aspettare e combattere con chi vincerà,Di attendere per schierarsi con il vincitore
,,,,
IL ROMANZO DELLA GUERRA NELL'ANNO 1914,15,Chi condusse una guerra di sterminio in Grecia?,Silla,L'intellettuale Silla
IL ROMANZO DELLA GUERRA NELL'ANNO 1914,15,Chi fece scannare centomila italici?,Mitridate,Il re Mitridate
IL ROMANZO DELLA GUERRA NELL'ANNO 1914,15,Come si chiama l'eroico re del Belgio?,Alberto,Re Alberto
,,,,
IL ROMANZO DELLA GUERRA NELL'ANNO 1914,16,Che ruolo svolge Madama Caillaux?,È un'infermiera della Croce Rossa,Svolge il ruolo di infermiera della Croce Rossa
IL ROMANZO DELLA GUERRA NELL'ANNO 1914,16,Come considera il clericalone la notizia dei Tedeschi a Parigi?,La considera una buona notizia,Trova che siano notizie che fanno bene
IL ROMANZO DELLA GUERRA NELL'ANNO 1914,16,Quale municipio ha stabilito il calmiere per le uova?,Il municipio di Rimini,Quello di Rimini
,,,,
IL ROMANZO DELLA GUERRA NELL'ANNO 1914,17,Cosa non avevano più le donne in Francia sul volto e nel vestito?,Ciprie e belletti,Adornamenti e gioielli
