Book,ParagraphIndex,Question,AnswerA,AnswerB
IL PRINCIPE DELLA MARSILIANA,1,Don Pio viene eletto deputato?,"Sì, viene eletto.","Sì, la sua elezione ha successo."
IL PRINCIPE DELLA MARSILIANA,1,Qual è il cognome della famiglia del principe della Marsiliana?,Urbani.,Il loro cognome è Urbani.
IL PRINCIPE DELLA MARSILIANA,1,Quale posizione ricopre Fabio Rosati per il principe della Marsiliana?,È il suo segretario.,È il segretario personale di Don Pio.
,,,,
IL PRINCIPE DELLA MARSILIANA,2,"Il Principe della Marsiliana, Don Pio, riesce a vincere le elezioni?","Sì, Don Pio viene eletto.",Il Principe della Marsiliana ottiene la vittoria elettorale.
IL PRINCIPE DELLA MARSILIANA,2,Qual è il nome del principato di Don Pio?,Il suo principato si chiama Marsiliana.,Il principato di Don Pio è la Marsiliana.
IL PRINCIPE DELLA MARSILIANA,2,"La stazione in Trastevere, promessa da Don Pio per ottenere voti, viene effettivamente realizzata?","Sì, il progetto della stazione viene approvato.",La costruzione della stazione in Trastevere ha luogo.
,,,,
IL PRINCIPE DELLA MARSILIANA,3,Il principe di Marsiliana viene eletto?,"Sì, viene eletto.",Don Pio ottiene la carica.
IL PRINCIPE DELLA MARSILIANA,3,Chi ha suggerito l'idea della stazione in Trastevere al principe di Marsiliana?,Caruso l'ha proposta.,L'idea è stata di Caruso.
IL PRINCIPE DELLA MARSILIANA,3,Caruso abbandona la professione di giornalista?,"Sì, la lascia.",Non fa più il giornalista.
,,,,
IL PRINCIPE DELLA MARSILIANA,4,Qual è il titolo nobiliare di Don Pio?,Principe,Il titolo di principe
IL PRINCIPE DELLA MARSILIANA,4,Qual è il sentimento più importante per Donna Teresa?,L'amore per il figlio,L'amore per Don Pio
IL PRINCIPE DELLA MARSILIANA,4,Quale tipo di evento politico impegna Don Pio?,Un'elezione,Un'elezione politica
,,,,
IL PRINCIPE DELLA MARSILIANA,5,Qual è l'obiettivo politico principale di Don Pio?,Diventare deputato di Roma,Essere eletto deputato a Roma
IL PRINCIPE DELLA MARSILIANA,5,Come si chiama il giornale che critica Don Pio?,Il Fieramosca,Il quotidiano Fieramosca
IL PRINCIPE DELLA MARSILIANA,5,Quale progetto viene contestato a Don Pio dal Fieramosca?,L'idea della stazione in Trastevere,Il progetto della stazione nel rione Trastevere
,,,,
IL PRINCIPE DELLA MARSILIANA,6,Qual è il nome completo di Don Pio?,Il suo nome è Pio Salvo,Si chiama Pio Salvo
IL PRINCIPE DELLA MARSILIANA,6,In quale città si svolge la campagna elettorale di Don Pio?,A Catania,Nella città di Catania
IL PRINCIPE DELLA MARSILIANA,6,Qual era l'affare urgente che la duchessa Teresa voleva discutere con Don Pio?,Riguardava la vendita di un terreno,Era la cessione di una proprietà
,,,,
IL PRINCIPE DELLA MARSILIANA,7,Don Pio della Marsiliana viene eletto deputato?,"Sì, il principe ottiene il seggio.",Don Pio vince le elezioni.
IL PRINCIPE DELLA MARSILIANA,7,Il giornale La Stampa si dimostra efficace per la carriera politica di Don Pio?,"Sì, il giornale supporta con successo il principe.",La Stampa contribuisce all'ascesa politica di Don Pio.
IL PRINCIPE DELLA MARSILIANA,7,Qual è l'esito della rivalità tra Fabio e Ubaldo Caruso?,Fabio riesce a superare Ubaldo in influenza.,Ubaldo Caruso perde la sua posizione di direttore.
,,,,
IL PRINCIPE DELLA MARSILIANA,8,Quale tipo di giornalismo pratica Ubaldo Caruso a Roma?,Un giornalismo diffamatorio.,Un giornalismo che mira a screditare personalità e istituzioni.
IL PRINCIPE DELLA MARSILIANA,8,Maria si ricongiunge mai con Ubaldo Caruso?,"No, non si ricongiunge con lui.",Non torna insieme a Ubaldo.
IL PRINCIPE DELLA MARSILIANA,8,Ubaldo Caruso rivede mai suo figlio?,"No, non rivede il figlio.",Non incontra più il bambino.
,,,,
IL PRINCIPE DELLA MARSILIANA,9,Quale ruolo politico ricopre Ubaldo alla fine del libro?,Diventa deputato al Parlamento italiano,Ricopre la carica di deputato
