Book,ParagraphIndex,Question,AnswerA,AnswerB
LODOVICO IL MORO,1,Quale ruolo ebbe Lodovico nel risorgimento delle lettere e delle arti a Milano?,Promosse il risorgimento delle lettere e delle arti,Favorì la perfezione delle lettere e delle arti
LODOVICO IL MORO,1,Quale frase usava Lodovico per esprimere il valore della penna rispetto alla spada?,La penna vale più che la spada,Diceva che la penna è più potente della spada
LODOVICO IL MORO,1,Qual era il simbolo dello stemma di Lodovico?,L'albero moro,"Il gelso, simbolo di prudenza"
,,,,
LODOVICO IL MORO,2,Per quale motivo le nozze di Isabella non furono celebrate con pompe clamorose a Napoli?,A causa della morte di Ippolita,Per il lutto della corte dovuto alla scomparsa di Ippolita
LODOVICO IL MORO,2,Da quale città Isabella e il suo seguito partirono per il viaggio via mare?,Da Napoli,Dalla città di Napoli
LODOVICO IL MORO,2,Chi incontrò Isabella a Livorno durante il suo viaggio?,Lorenzo de’ Medici,Lorenzo de’ Medici con il suo seguito
,,,,
LODOVICO IL MORO,3,Come si chiamava la macchina creata da Leonardo da Vinci per la duchessa?,Paradiso,La macchina Paradiso
LODOVICO IL MORO,3,Chi sposò Lodovico il Moro all'inizio del 1491?,"Beatrice, figlia di Ercole duca di Ferrara","La figlia del Duca di Ferrara, Beatrice"
LODOVICO IL MORO,3,A chi diede in moglie Lodovico il Moro sua figlia naturale Bianca?,A Galeazzo Sanseverino,Al giovane Galeazzo Sanseverino
,,,,
LODOVICO IL MORO,4,Chi era la sposa che giunse a Milano?,La principessa estense,Una principessa della famiglia d'Este
LODOVICO IL MORO,4,Chi si occupò di concertare il solenne ingresso della sposa a Milano?,Lodovico il Moro,Il Moro
LODOVICO IL MORO,4,Dove si è svolta la cerimonia nuziale?,Nella cappella privata del principe,Nella cappella del principe
,,,,
LODOVICO IL MORO,5,Chi vinse il premio principale nelle giostre nuziali?,Galeazzo Sanseverino,Sanseverino Galeazzo
LODOVICO IL MORO,5,Quale fu il premio principale assegnato a Galeazzo Sanseverino?,Un drappo scarlatto,Un panno di colore scarlatto
LODOVICO IL MORO,5,Cosa accadde pochi giorni dopo le feste nuziali di Isabella?,Isabella diede alla luce il suo primogenito,Nacque il figlio primogenito di Isabella
,,,,
LODOVICO IL MORO,6,Chi si lamenta della superiorità ostentata da Beatrice?,Isabella,La duchessa Isabella
LODOVICO IL MORO,6,Qual è il legame di parentela tra Gian-Galeazzo e il Duca di Bari?,Sono zio e nipote,Il Duca di Bari è lo zio di Gian-Galeazzo
LODOVICO IL MORO,6,Qual è il ruolo del Duca di Bari nello stato di Gian-Galeazzo?,È il governatore,È il tutore del giovane Duca
,,,,
LODOVICO IL MORO,7,Chi è il personaggio chiamato 'il Moro'?,Lodovico,Il Duca di Bari
LODOVICO IL MORO,7,Chi è il marito della Duchessa Isabella?,Gian-Galeazzo,Il Duca Gian-Galeazzo
LODOVICO IL MORO,7,A chi scrive Isabella la sua lettera?,Al padre,A suo padre
,,,,
LODOVICO IL MORO,8,Chi è la moglie di Lodovico il Moro?,Beatrice,La sua consorte Beatrice
LODOVICO IL MORO,8,Chi ha insultato Lodovico il Moro?,La Duchessa,Isabella
LODOVICO IL MORO,8,Cosa desidera Isabella per Lodovico il Moro?,La sua morte,Che lui muoia
,,,,
LODOVICO IL MORO,9,Chi scrisse la lettera inviata al Duca di Calabria?,Isabella,"La figlia del Duca di Calabria, Isabella"
LODOVICO IL MORO,9,Chi consegnò la lettera di Isabella al Duca di Calabria?,Isacco,L'ebreo Isacco
LODOVICO IL MORO,9,Dove fu condotta Carolina dopo la sua confessione?,In un monastero,In un convento
,,,,
LODOVICO IL MORO,10,Chi sposa Bianca?,Il Re Massimiliano,"Massimiliano, Re dei Romani"
LODOVICO IL MORO,10,Chi è uno degli inviati di Lodovico a Carlo VIII?,Carlo Balbiano,Il Conte di Belgioioso
LODOVICO IL MORO,10,Chi succede al Re Ferdinando di Napoli?,Alfonso Duca di Calabria,Il Duca di Calabria Alfonso
,,,,
LODOVICO IL MORO,11,Dove si ritirò Lodovico dopo aver visitato il Re?,A Nom,Nel castello di Nom
LODOVICO IL MORO,11,Chi educò il Re Carlo?,Sua sorella Anna di Francia,Anna di Francia
LODOVICO IL MORO,11,Di quale malattia si ammalò il Re Carlo ad Asti?,Di vajuolo,Di vaiolo
,,,,
LODOVICO IL MORO,12,Chi è sospettato di aver avvelenato il giovane Duca?,Lodovico,Lo zio Lodovico
LODOVICO IL MORO,12,Dove alloggia Filippo Comines a Milano?,In un albergo,In un albergo nella Porta Ticinese
LODOVICO IL MORO,12,Chi fece costruire la Certosa di Pavia?,Gian-Galeazzo Visconti,"Il primo duca di Milano, Gian-Galeazzo Visconti"
,,,,
LODOVICO IL MORO,13,Chi è il signor d'Argentone?,Uno storico francese,Lo storico francese
